"id","Comm_tbl_State_ID","State","DateCreated"
88,E48A1F84-004C-49D9-A1FA-7CA22E25931A,VI,2008-10-29 00:04:29.327
34,EBA9B27A-D980-4CF1-AB33-8178C95BDF01,CA,2001-04-24 14:41:23.000
46,"573AA829-284B-4170-868C-83E2D9F57B5F",AR,2001-04-24 14:41:23.000
8,D13D5559-FBCD-4FBD-9C64-8874EC93575A,MT,2001-04-24 14:41:23.000
30,"2C2A6808-7B5E-4236-B887-8D4AAC9E01BB",PA,2001-04-24 14:41:23.000
82,"737A4EE3-935F-4826-AE87-A0F076A73594",NT,2008-10-29 00:04:29.327
27,"720A48A6-8DBE-4BBD-A1EC-A4F1B61AC002",IL,2001-04-24 14:41:23.000
29,"9C0D6AD7-32C7-4B13-A368-A502CA8CE204",OH,2001-04-24 14:41:23.000
56,C7AB6B02-872A-4D2A-B5A7-B014B9CB8E02,GA,2001-04-24 14:41:23.000
33,"5B2DA684-9686-418D-B6D9-B2112B138E81",DE,2001-04-24 14:41:23.000
75,F0B3257E-2695-4A70-B6F9-C3EA202556A8,MB,2008-10-29 00:04:29.327
79,AA73DA61-F919-418C-A326-C4744CB9EAEF,NB,2008-10-29 00:04:29.327
21,"5134CF00-2E8F-4C35-9FE5-C63B55864E16",MA,2001-04-24 14:41:23.000
22,BB76C890-BC5E-4CB3-97E7-CE13A90DFA42,RI,2001-04-24 14:41:23.000
43,E59425E5-D27D-40CB-A4B6-D64792909B9C,AZ,2001-04-24 14:41:23.000
51,"7941CDF4-2282-4DC8-9F36-D707F98D7D87",TX,2001-04-24 14:41:23.000
81,"06EEACEB-0067-4B5F-94DD-DAA0282E9515",NS,2008-10-29 00:04:29.327
25,"8DD1D24D-2C1E-4508-A3D0-DF3D32AE7240",NE,2001-04-24 14:41:23.000
83,"0387F1EB-42E0-4A17-AF02-E285961D41C4",ON,2008-10-29 00:04:29.327
17,"7CF0F6E9-A046-4763-98F4-E2EFB567CA3F",WI,2001-04-24 14:41:23.000
77,"6986294F-4195-4530-B86F-EB4FAC633DCE",MX,2008-10-29 00:04:29.327
9,"8C95831D-590C-475F-BB4B-EEF605CE9BF2",ND,2001-04-24 14:41:23.000
19,"8B122879-A838-477D-BEBB-F2E4582A5D60",NY,2001-04-24 14:41:23.000
87,F40915AD-7D67-4B8F-B73C-F587040AC28C,US,2008-10-29 00:04:29.327
74,"183A3068-6C83-4CC4-9412-F6D098BBF203",GU,2008-10-29 00:04:29.327
16,E91ED3B5-B1E6-4D85-A235-F8EF338FE411,MN,2001-04-24 14:41:23.000
37,"0313F9C5-0B4D-4B8A-B8B4-F9980EE7261E",MO,2001-04-24 14:41:23.000
58,"40A63936-BD54-4E87-8CC1-F9FE7BBA6276","",2001-04-26 16:49:03.000
76,"1439D2A0-E981-4572-9DB3-FEBFD75D0801",MP,2008-10-29 00:04:29.327
